date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:24:01	31998/31998	---M--	200	added ('OK')	image/jpeg	etag:%222705349f48ba0dd8057567229bf4418b%22	https://springboard-cdn.appadvice.com/apptributes/us-east-1%3Af9757185-8fd9-4f9b-b3cf-2b4ad1dd2ab1/1527872426355_screen_shot____at_.._am-landscape-m.jpg	E:/WebSite/apps/springboard-cdn.appadvice.com/apptributes/us-east-1_f9757185-8fd9-4f9b-b3cf-2b4ad1dd2ab1/1527872426355_screen_shot____at_.._am-landscape-m.jpg	(from https://appadvice.com/appnn)
01:24:01	209807/209807	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Jun%202018%2017:24:01%20GMT	https://appadvice.com/tv/collection/breaking-a-sweat-with-your-apple-tv	E:/WebSite/apps/appadvice.com/tv/collection/breaking-a-sweat-with-your-apple-tv.html	(from https://appadvice.com/appnn)
01:24:02	229376/229376	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Jun%202018%2017:24:01%20GMT	https://appadvice.com/post/grab-your-bait-and-tackle-and-jump-into-desert-island-fishing/1169324435/28499385	E:/WebSite/apps/appadvice.com/post/grab-your-bait-and-tackle-and-jump-into-desert-island-fishing/1169324435/28499385.html	(from https://appadvice.com/appnn)
01:24:04	34249/34249	---M--	200	added ('OK')	image/jpeg	etag:%22e2085842a9500ac939b69644066fe165%22	https://wpuploads.appadvice.com/wp-content/uploads/2018/06/agf612018-640x330.jpg	E:/WebSite/apps/wpuploads.appadvice.com/wp-content/uploads/2018/06/agf612018-640x330.jpg	(from https://appadvice.com/appnn)
01:24:04	191576/191576	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Jun%202018%2017:24:04%20GMT	https://appadvice.com/appnn/2018/06/todays-apps-gone-free-altimeter-gps-sayings-builder-master-anodia-and-more	E:/WebSite/apps/appadvice.com/appnn/2018/06/todays-apps-gone-free-altimeter-gps-sayings-builder-master-anodia-and-more.html	(from https://appadvice.com/appnn)
01:24:05	23600/23600	---M--	200	added ('OK')	image/jpeg	etag:%22bd2a673055643dc26b19ae22140fc142%22	https://springboard-cdn.appadvice.com/apptributes/us-east-1%3A8aa41638-fba4-4399-b192-29ee08a7b61c/1484578820313_RockEntertainmentMagazine_1148-landscape-m.jpg	E:/WebSite/apps/springboard-cdn.appadvice.com/apptributes/us-east-1_8aa41638-fba4-4399-b192-29ee08a7b61c/1484578820313_RockEntertainmentMagazine_1148-landscape-m.jpg	(from https://appadvice.com/appnn)
01:24:06	252144/252144	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Jun%202018%2017:24:05%20GMT	https://appadvice.com/collection/magazine-apps-entertainment	E:/WebSite/apps/appadvice.com/collection/magazine-apps-entertainment.html	(from https://appadvice.com/appnn)
01:24:06	195827/195827	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Jun%202018%2017:24:06%20GMT	https://appadvice.com/appnn/author/sandy	E:/WebSite/apps/appadvice.com/appnn/author/sandy.html	(from https://appadvice.com/appnn)
01:24:08	55222/55222	---M--	200	added ('OK')	image/jpeg	etag:%2284b3264ab55f1ba93da212e937a77abd%22	https://handoff-cdn.appadvice.com/apptributes/us-east-1%3A8aa41638-fba4-4399-b192-29ee08a7b61c/1480360266821_RestaurantAppsFeatured_4701-landscape-m.jpg	E:/WebSite/apps/handoff-cdn.appadvice.com/apptributes/us-east-1_8aa41638-fba4-4399-b192-29ee08a7b61c/1480360266821_RestaurantAppsFeatured_4701-landscape-m.jpg	(from https://appadvice.com/appnn)
01:24:09	174433/174433	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Jun%202018%2017:24:08%20GMT	https://appadvice.com/best-ios-games-of-the-week/may-27-2018	E:/WebSite/apps/appadvice.com/best-ios-games-of-the-week/may-27-2018.html	(from https://appadvice.com/appnn)
